taam,rank,successor,count,prob,book,run_label,stream_type
atnah,1,merkha,296,0.20190996,genesis,control_exclude_external,full
atnah,2,munah,221,0.15075034,genesis,control_exclude_external,full
atnah,3,tipeha,213,0.14529332,genesis,control_exclude_external,full
atnah,4,meteg,150,0.10231924,genesis,control_exclude_external,full
atnah,5,mahapakh,124,0.0845839,genesis,control_exclude_external,full
atnah,6,pashta,121,0.08253752,genesis,control_exclude_external,full
atnah,7,qadma,69,0.04706685,genesis,control_exclude_external,full
atnah,8,revia,63,0.04297408,genesis,control_exclude_external,full
atnah,9,zaqef_gadol,55,0.03751705,genesis,control_exclude_external,full
atnah,10,tevir,46,0.0313779,genesis,control_exclude_external,full
darga,1,tevir,212,0.83794466,genesis,control_exclude_external,full
darga,2,meteg,23,0.09090909,genesis,control_exclude_external,full
darga,3,munah,17,0.06719368,genesis,control_exclude_external,full
darga,4,merkha_kefula,1,0.00395257,genesis,control_exclude_external,full
geresh,1,revia,83,0.34016393,genesis,control_exclude_external,full
geresh,2,munah,61,0.25,genesis,control_exclude_external,full
geresh,3,mahapakh,43,0.17622951,genesis,control_exclude_external,full
geresh,4,meteg,21,0.08606557,genesis,control_exclude_external,full
geresh,5,darga,18,0.07377049,genesis,control_exclude_external,full
geresh,6,merkha,9,0.03688525,genesis,control_exclude_external,full
geresh,7,qadma,7,0.02868852,genesis,control_exclude_external,full
geresh,8,telisha_gedola,2,0.00819672,genesis,control_exclude_external,full
gershayim,1,mahapakh,43,0.38053097,genesis,control_exclude_external,full
gershayim,2,munah,35,0.30973451,genesis,control_exclude_external,full
gershayim,3,darga,19,0.16814159,genesis,control_exclude_external,full
gershayim,4,meteg,5,0.04424779,genesis,control_exclude_external,full
gershayim,5,qadma,4,0.03539823,genesis,control_exclude_external,full
gershayim,6,merkha,4,0.03539823,genesis,control_exclude_external,full
gershayim,7,revia,3,0.02654867,genesis,control_exclude_external,full
mahapakh,1,pashta,706,0.88693467,genesis,control_exclude_external,full
mahapakh,2,meteg,88,0.11055276,genesis,control_exclude_external,full
mahapakh,3,zaqef_qatan,2,0.00251256,genesis,control_exclude_external,full
merkha,1,tipeha,1473,0.61171096,genesis,control_exclude_external,full
merkha,2,meteg,748,0.31063123,genesis,control_exclude_external,full
merkha,3,tevir,160,0.06644518,genesis,control_exclude_external,full
merkha,4,pashta,25,0.01038206,genesis,control_exclude_external,full
merkha,5,zinor,1,0.00041528,genesis,control_exclude_external,full
merkha,6,munah,1,0.00041528,genesis,control_exclude_external,full
